Zip,Population
11368,112425
11385,106717
10467,103732
11211,102624
11236,100331
11226,100277
11208,98660
11234,95666
11220,95643
10456,94218
11373,93967
11214,92946
10025,92805
11207,91972
10314,90761
11219,90036
11230,89075
11206,88349
11377,86421
10458,83960
11221,83835
11229,83615
11223,81789
11355,80853
10453,79606
10029,79597
10468,78647
11235,78128
11204,76978
11233,76819
10462,76756
11212,76527
10452,76078
11203,75451
10002,74993
10457,74554
11218,74508
10469,73870
11375,73488
10466,72479
10463,71360
11215,70156
10472,68796
11706,68773
11746,68491
11209,67809
11691,67094
11210,67040
11213,66295
11434,65791
10977,64882
10027,64548
14850,64484
10032,64264
11717,63054
11201,62823
10023,62435
11432,62053
11372,61844
10312,61741
10031,60254
10473,59609
10033,59607
10460,59505
10701,59312
11435,59296
10128,59256
10024,59001
11225,58882
10009,57925
11550,57652
11216,56308
11354,55200
12550,54988
10003,54682
11238,54540
14221,54081
12180,53437
11758,53424
10306,53142
14580,52587
10016,51057
10950,50895
10011,50472
10461,50348
11419,49618
11237,49310
14094,49170
10940,49068
11420,48489
10459,48351
10451,47798
10028,47793
11224,46707
11590,46560
10021,46215
11205,46064
11772,45964
11003,45263
11228,44994
11365,44983
10040,44571
14120,44437
10465,44205
11757,44115
11580,43714
10019,43703
11520,43408
13760,43350
10475,43208
11756,43099
10034,42910
12065,42868
11374,42653
12603,42589
14075,42471
11413,42443
10305,42298
10455,42283
14609,42042
11743,41938
11040,41877
10952,41834
11367,41824
10801,41759
12601,41539
11217,41407
13440,41243
10304,41064
14450,41035
11421,41002
14150,40825
10705,40733
14224,40590
11801,40340
11704,40285
10583,40013
14215,39962
11357,39902
14701,39731
10026,39363
12866,39178
10573,38861
10301,38733
11418,38517
11106,38363
10454,38203
13021,38114
11779,38063
11379,37851
11231,37845
10550,37817
11561,37662
13501,37646
13601,37624
11412,37458
11105,37382
11554,37358
11378,37279
11358,37190
11364,36806
11222,36492
11433,36489
13126,36335
11103,36140
14624,35885
10035,35743
12401,35339
12590,34711
14612,34259
11710,34237
11369,34118
11787,34099
10010,33730
10309,33531
11510,33484
12020,33456
11735,33454
11566,33401
14225,33328
14621,33264
13027,32949
12901,32846
14086,32671
13502,32542
11722,32524
11370,32514
10704,32223
11422,32082
11417,31927
10562,31772
10956,31619
11423,31400
14534,31303
12203,31251
11793,31238
10022,31125
11102,30800
10014,30738
12309,30397
11731,30357
14127,30297
10308,30186
11050,30132
11101,30043
14626,29901
10030,29882
11572,29846
11727,29823
13090,29758
14226,29700
11725,29578
10598,29492
14304,29375
13045,29223
11414,29219
11763,29018
10013,28709
11720,28556
11530,28454
13210,28234
12303,28233
12010,28221
14606,28198
11701,28149
10065,28109
11803,28018
11001,27867
11542,27773
10039,27726
11570,27722
14424,27717
11967,27649
14616,27616
11232,27602
11901,27486
10036,27428
11729,27419
12302,27407
11429,27403
11361,27246
12205,27212
11741,27149
11416,27125
10541,26656
12306,26599
12553,26465
10710,26410
12804,26272
13905,26194
11791,26121
11104,26119
10303,25947
14623,25917
11553,25869
12533,25406
11552,25178
11010,25068
11784,24992
